p
"(:Proveedor {idProveedor: 1,nombre: Tech Supplies Co.})-[:SE_UBICA_EN]->(:Ciudad {país: España,nombre: Madrid,idCiudad: 1})"
"(:Proveedor {idProveedor: 2,nombre: Electro World})-[:SE_UBICA_EN]->(:Ciudad {país: Francia,nombre: París,idCiudad: 2})"
"(:Proveedor {idProveedor: 3,nombre: Office Solutions})-[:SE_UBICA_EN]->(:Ciudad {país: Reino Unido,nombre: Londres,idCiudad: 3})"
"(:Proveedor {idProveedor: 4,nombre: Gadget Pro})-[:SE_UBICA_EN]->(:Ciudad {país: Alemania,nombre: Berlín,idCiudad: 4})"
"(:Proveedor {idProveedor: 5,nombre: Home Appliances Inc.})-[:SE_UBICA_EN]->(:Ciudad {país: Italia,nombre: Roma,idCiudad: 5})"
"(:Proveedor {idProveedor: 6,nombre: Digital Accessories})-[:SE_UBICA_EN]->(:Ciudad {país: Países Bajos,nombre: Ámsterdam,idCiudad: 6})"
"(:Proveedor {idProveedor: 7,nombre: Furniture Hub})-[:SE_UBICA_EN]->(:Ciudad {país: Portugal,nombre: Lisboa,idCiudad: 7})"
"(:Proveedor {idProveedor: 8,nombre: Kitchen Essentials})-[:SE_UBICA_EN]->(:Ciudad {país: Austria,nombre: Viena,idCiudad: 8})"
"(:Proveedor {idProveedor: 9,nombre: Sound Masters})-[:SE_UBICA_EN]->(:Ciudad {país: Suecia,nombre: Estocolmo,idCiudad: 9})"
"(:Proveedor {idProveedor: 10,nombre: Vision Electronics})-[:SE_UBICA_EN]->(:Ciudad {país: Dinamarca,nombre: Copenhague,idCiudad: 10})"
"(:Proveedor {idProveedor: 11,nombre: Smart Home Innovations})-[:SE_UBICA_EN]->(:Ciudad {país: Bélgica,nombre: Bruselas,idCiudad: 11})"
"(:Proveedor {idProveedor: 12,nombre: Techno Solutions})-[:SE_UBICA_EN]->(:Ciudad {país: Irlanda,nombre: Dublín,idCiudad: 12})"
"(:Proveedor {idProveedor: 13,nombre: Outdoor Gear Co.})-[:SE_UBICA_EN]->(:Ciudad {país: Noruega,nombre: Oslo,idCiudad: 13})"
"(:Proveedor {idProveedor: 14,nombre: Mobile Accessories Ltd.})-[:SE_UBICA_EN]->(:Ciudad {país: Finlandia,nombre: Helsinki,idCiudad: 14})"
"(:Proveedor {idProveedor: 15,nombre: Fashion Tech Supplies})-[:SE_UBICA_EN]->(:Ciudad {país: Grecia,nombre: Atenas,idCiudad: 15})"
