p
"(:Cliente {idCliente: 1,teléfono: 123-456-7890,sexo: M,tieneTitulo: true,edad: 30,nombre: Juan Pérez})-[:TIENE_ESTUDIO_EN]->(:Estudio {título: Ingeniería de Software,idEstudio: 1})"
"(:Cliente {idCliente: 2,teléfono: 234-567-8901,sexo: F,tieneTitulo: false,edad: 25,nombre: Ana Gómez})-[:TIENE_ESTUDIO_EN]->(:Estudio {título: Medicina,idEstudio: 2})"
"(:Cliente {idCliente: 3,teléfono: 345-678-9012,sexo: M,tieneTitulo: true,edad: 40,nombre: Carlos Rodríguez})-[:TIENE_ESTUDIO_EN]->(:Estudio {título: Arquitectura,idEstudio: 3})"
"(:Cliente {idCliente: 4,teléfono: 456-789-0123,sexo: F,tieneTitulo: false,edad: 35,nombre: María Torres})-[:TIENE_ESTUDIO_EN]->(:Estudio {título: Psicología,idEstudio: 4})"
"(:Cliente {idCliente: 5,teléfono: 567-890-1234,sexo: M,tieneTitulo: true,edad: 28,nombre: Pedro López})-[:TIENE_ESTUDIO_EN]->(:Estudio {título: Derecho,idEstudio: 5})"
"(:Cliente {idCliente: 6,teléfono: 678-901-2345,sexo: F,tieneTitulo: false,edad: 22,nombre: Lucía Fernández})-[:TIENE_ESTUDIO_EN]->(:Estudio {título: Biología,idEstudio: 6})"
"(:Cliente {idCliente: 7,teléfono: 789-012-3456,sexo: M,tieneTitulo: true,edad: 31,nombre: José Martínez})-[:TIENE_ESTUDIO_EN]->(:Estudio {título: Ciencias de la Comunicación,idEstudio: 7})"
"(:Cliente {idCliente: 8,teléfono: 890-123-4567,sexo: F,tieneTitulo: false,edad: 29,nombre: Isabel Sánchez})-[:TIENE_ESTUDIO_EN]->(:Estudio {título: Economía,idEstudio: 8})"
"(:Cliente {idCliente: 9,teléfono: 901-234-5678,sexo: M,tieneTitulo: false,edad: 45,nombre: Miguel Ruiz})-[:TIENE_ESTUDIO_EN]->(:Estudio {título: Administración de Empresas,idEstudio: 9})"
"(:Cliente {idCliente: 10,teléfono: 012-345-6789,sexo: F,tieneTitulo: false,edad: 33,nombre: Laura Díaz})-[:TIENE_ESTUDIO_EN]->(:Estudio {título: Física,idEstudio: 10})"
"(:Cliente {idCliente: 11,teléfono: 123-456-7891,sexo: M,tieneTitulo: false,edad: 27,nombre: Luis Ramírez})-[:TIENE_ESTUDIO_EN]->(:Estudio {título: Matemáticas,idEstudio: 11})"
"(:Cliente {idCliente: 12,teléfono: 234-567-8902,sexo: F,tieneTitulo: false,edad: 38,nombre: Carmen Moreno})-[:TIENE_ESTUDIO_EN]->(:Estudio {título: Química,idEstudio: 12})"
"(:Cliente {idCliente: 13,teléfono: 345-678-9013,sexo: M,tieneTitulo: true,edad: 26,nombre: Roberto Vargas})-[:TIENE_ESTUDIO_EN]->(:Estudio {título: Historia del Arte,idEstudio: 13})"
"(:Cliente {idCliente: 14,teléfono: 456-789-0124,sexo: F,tieneTitulo: false,edad: 32,nombre: Patricia Castro})-[:TIENE_ESTUDIO_EN]->(:Estudio {título: Ingeniería Civil,idEstudio: 14})"
"(:Cliente {idCliente: 15,teléfono: 567-890-1235,sexo: M,tieneTitulo: true,edad: 36,nombre: Jorge Ortiz})-[:TIENE_ESTUDIO_EN]->(:Estudio {título: Educación,idEstudio: 15})"
"(:Cliente {idCliente: 16,teléfono: 678-901-2346,sexo: F,tieneTitulo: true,edad: 24,nombre: Beatriz Silva})-[:TIENE_ESTUDIO_EN]->(:Estudio {título: Antropología,idEstudio: 16})"
"(:Cliente {idCliente: 17,teléfono: 789-012-3457,sexo: M,tieneTitulo: true,edad: 39,nombre: Raúl Jiménez})-[:TIENE_ESTUDIO_EN]->(:Estudio {título: Enfermería,idEstudio: 17})"
"(:Cliente {idCliente: 18,teléfono: 890-123-4568,sexo: F,tieneTitulo: true,edad: 28,nombre: Rosa Peña})-[:TIENE_ESTUDIO_EN]->(:Estudio {título: Contabilidad,idEstudio: 18})"
"(:Cliente {idCliente: 19,teléfono: 901-234-5679,sexo: M,tieneTitulo: false,edad: 34,nombre: Álvaro Rivas})-[:TIENE_ESTUDIO_EN]->(:Estudio {título: Marketing,idEstudio: 19})"
"(:Cliente {idCliente: 20,teléfono: 012-345-6780,sexo: F,tieneTitulo: true,edad: 37,nombre: Elena Mendoza})-[:TIENE_ESTUDIO_EN]->(:Estudio {título: Filosofía,idEstudio: 20})"
