p
"(:Cliente {idCliente: 1,teléfono: 123-456-7890,sexo: M,tieneTitulo: true,edad: 30,nombre: Juan Pérez})-[:HA_CREADO]->(:Orden {monto: 4800000.0,cantidad: 2,fechaOrden: 2024-01-15,idOrden: 1})"
"(:Cliente {idCliente: 2,teléfono: 234-567-8901,sexo: F,tieneTitulo: false,edad: 25,nombre: Ana Gómez})-[:HA_CREADO]->(:Orden {monto: 6000000.0,cantidad: 1,fechaOrden: 2024-02-20,idOrden: 2})"
"(:Cliente {idCliente: 3,teléfono: 345-678-9012,sexo: M,tieneTitulo: true,edad: 40,nombre: Carlos Rodríguez})-[:HA_CREADO]->(:Orden {monto: 3200000.0,cantidad: 3,fechaOrden: 2024-03-10,idOrden: 3})"
"(:Cliente {idCliente: 4,teléfono: 456-789-0123,sexo: F,tieneTitulo: false,edad: 35,nombre: María Torres})-[:HA_CREADO]->(:Orden {monto: 800000.0,cantidad: 1,fechaOrden: 2024-04-05,idOrden: 4})"
"(:Cliente {idCliente: 5,teléfono: 567-890-1234,sexo: M,tieneTitulo: true,edad: 28,nombre: Pedro López})-[:HA_CREADO]->(:Orden {monto: 2000000.0,cantidad: 2,fechaOrden: 2024-05-18,idOrden: 5})"
"(:Cliente {idCliente: 6,teléfono: 678-901-2345,sexo: F,tieneTitulo: false,edad: 22,nombre: Lucía Fernández})-[:HA_CREADO]->(:Orden {monto: 1000000.0,cantidad: 3,fechaOrden: 2024-06-22,idOrden: 6})"
"(:Cliente {idCliente: 7,teléfono: 789-012-3456,sexo: M,tieneTitulo: true,edad: 31,nombre: José Martínez})-[:HA_CREADO]->(:Orden {monto: 400000.0,cantidad: 1,fechaOrden: 2024-07-19,idOrden: 7})"
"(:Cliente {idCliente: 8,teléfono: 890-123-4567,sexo: F,tieneTitulo: false,edad: 29,nombre: Isabel Sánchez})-[:HA_CREADO]->(:Orden {monto: 4000000.0,cantidad: 2,fechaOrden: 2024-08-15,idOrden: 8})"
"(:Cliente {idCliente: 9,teléfono: 901-234-5678,sexo: M,tieneTitulo: false,edad: 45,nombre: Miguel Ruiz})-[:HA_CREADO]->(:Orden {monto: 2400000.0,cantidad: 1,fechaOrden: 2024-09-25,idOrden: 9})"
"(:Cliente {idCliente: 10,teléfono: 012-345-6789,sexo: F,tieneTitulo: false,edad: 33,nombre: Laura Díaz})-[:HA_CREADO]->(:Orden {monto: 300000.0,cantidad: 3,fechaOrden: 2024-10-30,idOrden: 10})"
"(:Cliente {idCliente: 11,teléfono: 123-456-7891,sexo: M,tieneTitulo: false,edad: 27,nombre: Luis Ramírez})-[:HA_CREADO]->(:Orden {monto: 4800000.0,cantidad: 2,fechaOrden: 2024-11-01,idOrden: 11})"
"(:Cliente {idCliente: 12,teléfono: 234-567-8902,sexo: F,tieneTitulo: false,edad: 38,nombre: Carmen Moreno})-[:HA_CREADO]->(:Orden {monto: 6000000.0,cantidad: 1,fechaOrden: 2024-11-05,idOrden: 12})"
"(:Cliente {idCliente: 13,teléfono: 345-678-9013,sexo: M,tieneTitulo: true,edad: 26,nombre: Roberto Vargas})-[:HA_CREADO]->(:Orden {monto: 3200000.0,cantidad: 3,fechaOrden: 2024-11-10,idOrden: 13})"
"(:Cliente {idCliente: 14,teléfono: 456-789-0124,sexo: F,tieneTitulo: false,edad: 32,nombre: Patricia Castro})-[:HA_CREADO]->(:Orden {monto: 800000.0,cantidad: 2,fechaOrden: 2024-11-12,idOrden: 14})"
"(:Cliente {idCliente: 15,teléfono: 567-890-1235,sexo: M,tieneTitulo: true,edad: 36,nombre: Jorge Ortiz})-[:HA_CREADO]->(:Orden {monto: 2000000.0,cantidad: 1,fechaOrden: 2024-11-15,idOrden: 15})"
"(:Cliente {idCliente: 16,teléfono: 678-901-2346,sexo: F,tieneTitulo: true,edad: 24,nombre: Beatriz Silva})-[:HA_CREADO]->(:Orden {monto: 1000000.0,cantidad: 3,fechaOrden: 2024-11-18,idOrden: 16})"
"(:Cliente {idCliente: 17,teléfono: 789-012-3457,sexo: M,tieneTitulo: true,edad: 39,nombre: Raúl Jiménez})-[:HA_CREADO]->(:Orden {monto: 400000.0,cantidad: 1,fechaOrden: 2024-11-20,idOrden: 17})"
"(:Cliente {idCliente: 18,teléfono: 890-123-4568,sexo: F,tieneTitulo: true,edad: 28,nombre: Rosa Peña})-[:HA_CREADO]->(:Orden {monto: 4000000.0,cantidad: 2,fechaOrden: 2024-11-22,idOrden: 18})"
"(:Cliente {idCliente: 19,teléfono: 901-234-5679,sexo: M,tieneTitulo: false,edad: 34,nombre: Álvaro Rivas})-[:HA_CREADO]->(:Orden {monto: 2400000.0,cantidad: 3,fechaOrden: 2024-11-25,idOrden: 19})"
"(:Cliente {idCliente: 20,teléfono: 012-345-6780,sexo: F,tieneTitulo: true,edad: 37,nombre: Elena Mendoza})-[:HA_CREADO]->(:Orden {monto: 300000.0,cantidad: 2,fechaOrden: 2024-11-30,idOrden: 20})"
